swapNs,durationNs,display,surfaceId,label
29065957958,16648958,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,738 :Surface  532 )"
29082606916,16656542,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,739 :Surface  529 )"
29099263458,16636208,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,740 :Surface  533 )"
29115899666,16652000,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,741 :Surface  532 )"
29132551666,16650125,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,742 :Surface  529 )"
29149201791,16655042,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,743 :Surface  533 )"
29165856833,16642708,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,744 :Surface  532 )"
29182499541,16641667,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,745 :Surface  529 )"
29199141208,16659125,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,746 :Surface  533 )"
29215800333,16640208,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,747 :Surface  532 )"
29232440541,16642459,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,748 :Surface  529 )"
29249083000,16648833,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,749 :Surface  533 )"
29265731833,16653917,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,750 :Surface  532 )"
29282385750,16638750,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,751 :Surface  529 )"
29299024500,16655541,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,752 :Surface  533 )"
29315680041,16649667,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,753 :Surface  532 )"
29332329708,16641792,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,754 :Surface  529 )"
29348971500,16641166,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,755 :Surface  533 )"
29365612666,16653125,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,756 :Surface  532 )"
29382265791,16650959,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,757 :Surface  529 )"
29398916750,16641250,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,758 :Surface  533 )"
29415558000,16653625,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,759 :Surface  532 )"
29432211625,16646000,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,760 :Surface  529 )"
29448857625,16637166,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,761 :Surface  533 )"
29465494791,16653292,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,762 :Surface  532 )"
29482148083,16651250,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,763 :Surface  529 )"
29498799333,16638708,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,764 :Surface  533 )"
29515438041,16648292,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,765 :Surface  532 )"
29532086333,16650875,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,766 :Surface  529 )"
29548737208,16643708,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,767 :Surface  533 )"
29565380916,16645000,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,768 :Surface  532 )"
29582025916,16646542,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,769 :Surface  529 )"
29598672458,16644292,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,770 :Surface  533 )"
29615316750,16653833,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,771 :Surface  532 )"
29631970583,16643375,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,772 :Surface  529 )"
29648613958,16647542,Display 1,533,"Direct to Display (Surface  533 ,  iospbrorbit (3430) :Frame  1,773 :Surface  533 )"
29665261500,16649333,Display 1,532,"Direct to Display (Surface  532 ,  iospbrorbit (3430) :Frame  1,774 :Surface  532 )"
29681910833,16652458,Display 1,529,"Direct to Display (Surface  529 ,  iospbrorbit (3430) :Frame  1,775 :Surface  529 )"
