swapNs,durationNs,display,surfaceId,label
69538764500,16652958,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  163 :Surface  565 )"
69555417458,16644375,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  164 :Surface  568 )"
69572061833,16652125,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  165 :Surface  564 )"
69588713958,16645417,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  166 :Surface  565 )"
69605359375,16636208,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  167 :Surface  568 )"
69621995583,16655500,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  168 :Surface  564 )"
69638651083,16645125,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  169 :Surface  565 )"
69655296208,16639792,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  170 :Surface  568 )"
69671936000,16658791,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  171 :Surface  564 )"
69688594791,16642834,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  172 :Surface  565 )"
69705237625,16646916,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  173 :Surface  568 )"
69721884541,16648250,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  174 :Surface  564 )"
69738532791,16642084,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  175 :Surface  565 )"
69755174875,16651791,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  176 :Surface  568 )"
69771826666,16646000,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  177 :Surface  564 )"
69788472666,16650000,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  178 :Surface  565 )"
69805122666,16650417,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  179 :Surface  568 )"
69821773083,16643833,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  180 :Surface  564 )"
69838416916,16650709,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  181 :Surface  565 )"
69855067625,16639041,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  182 :Surface  568 )"
69871706666,16650584,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  183 :Surface  564 )"
69888357250,16654041,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  184 :Surface  565 )"
69905011291,16638042,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  185 :Surface  568 )"
69921649333,16645167,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  186 :Surface  564 )"
69938294500,16652833,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  187 :Surface  565 )"
69954947333,16648292,Display 1,568,"Direct to Display (Surface  568 ,  iospbrorbit (3242) :Frame  188 :Surface  568 )"
69971595625,16653291,Display 1,564,"Direct to Display (Surface  564 ,  iospbrorbit (3242) :Frame  189 :Surface  564 )"
69988248916,16641500,Display 1,565,"Direct to Display (Surface  565 ,  iospbrorbit (3242) :Frame  190 :Surface  565 )"
